Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad,heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen,heute nacht minus zwei grad an der nordsee und bis minus zwanzig grad in einzelnen alpentälern,in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad,dort morgen sieben grad nordöstlich der elbe teilweise nur minus ein grad,an der küste morgen kühle neun grad im breisgau bis achtzehn grad,0.9423009,0.9310834,0.92627156,0.92420435,0.9237373,13December_2010_Monday_tagesschau-6940,13December_2010_Monday_tagesschau-6940/1/*.png,-1.0,-1.0,Signer08,NORD HEUTE NACHT MINUS ZWEI BERG BIS MINUS FUENFZEHN GRAD,an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad,HEUTE NACHT PLUS VIER OST MINUS VIER REGION,HEUTE NACHT MINUS ZWEI MINUS ZWANZIG UNTEN ALPEN TAL,MITTE BERG VIER NORDWEST ZWOELF GRAD WOLKE,MORGEN SIEBEN FLUSS NUR TEIL MINUS EINS,MORGEN NORD NEUN GRAD SUED ACHTZEHN GRAD,3,4,2,1,2
am freitag beruhigt sich das wetter wieder,im westen und nordwesten beruhigt sich das wetter später wieder,am wochenende beruhigt sich dann das wetter langsam,samstag beruhigt es sich etwas,samstag und sonntag ändert sich an diesem wetter noch wenig,am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,0.9035348,0.90325856,0.89498925,0.87956923,0.87488043,13December_2010_Monday_tagesschau-6944,13December_2010_Monday_tagesschau-6944/1/*.png,-1.0,-1.0,Signer08,FREITAG MEHR RUHIG,am freitag beruhigt sich das wetter wieder,WEST NORDWEST VERSCHWINDEN,FUER HEUTE WETTER BESSER RUHIG,SAMSTAG BESSER,SAMSTAG SONNTAG GLEICH IX,DONNERSTAG NORDWEST REGEN REGION SONNE WOLKE WECHSELHAFT DANN FREITAG AEHNLICH WETTER,0,1,0,0,1
in den übrigen gebieten viel sonne und nur ein paar lockere wolken,sonst meist nur lockere wolken,sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer,sonst ein wechsel aus sonne und wolken,dort wird es am dienstag windig dazu gibt es einzelne schauer,sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen,0.87517655,0.87163544,0.8703564,0.8634109,0.8610763,01June_2011_Wednesday_tagesschau-6952,01June_2011_Wednesday_tagesschau-6952/1/*.png,-1.0,-1.0,Signer01,REGION VIEL SONNE BISSCHEN WOLKE,in den übrigen gebieten viel sonne und nur ein paar lockere wolken,SONST REGION WOLKE LOCKER,SONNE BISSCHEN WOLKE NORDWEST NACHMITTAG BISSCHEN SCHAUER,SONST WECHSELHAFT SONNE WOLKE,DIENSTAG NORDOST WIND DAZU REGEN KURZ REGEN KOENNEN,WOCHENENDE SONNE SAMSTAG SCHOEN TEMPERATUR BIS SIEBZEHN GRAD REGION,2,3,2,0,2
am tag halten sich über dem südosten dichte wolken aus denen ein paar schneeflocken fallen,auch am tag wieder viel sonnenschein später bilden sich hier und da ein paar quellwolken,in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen,am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,nordöstlich der elbe halten sich heute nacht noch viele wolken die anfangs auch noch ein paar tropfen bringen,0.88808215,0.8876797,0.8871364,0.8838142,0.8818137,15December_2009_Tuesday_tagesschau-6963,15December_2009_Tuesday_tagesschau-6963/1/*.png,-1.0,-1.0,Signer05,SUEDOST MORGEN BEWOELKT VIEL SCHNEE SCHNEIEN,am tag halten sich über dem südosten dichte wolken aus denen ein paar schneeflocken fallen,AUCH TAG VIEL SONNE SPAETER IX QUELL WOLKE,NACHT NORD NORDOST WOLKE OST REGION MOEGLICH IX REGEN,TAG WEST FREUNDLICH SONST SONNE WOLKE WECHSELHAFT MAL SCHAUER,MORGEN REGION SONNE IX WOLKE BEWOELKT,FLUSS NORDOST HEUTE ABEND NOCH WOLKE KOENNEN REGEN SUEDOST,1,0,0,2,1
und es wird auch wieder schneien oberhalb von dreihundert metern meist so am nachmittag kräftig vom saarland bis nach berlin hoch,ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig,gewitterschauer örtlich mit hagel starkregen und sturmböen ziehen in der nacht ostwärts im norden regnet es länger,heute nacht ist es meist nur locker bewölkt oder klar im nordwesten gibt es auch mal ein paar dichtere wolken,0.87922806,0.8743656,0.8662349,0.8656254,0.86336756,24January_2011_Monday_heute-6981,24January_2011_Monday_heute-6981/1/*.png,-1.0,-1.0,Signer01,HEUTE WIEDER IN-KOMMEND SCHNEE UEBER DREIHUNDERT METER NACH MITTAG REGEN KOMMEN BERLIN IX,und es wird auch wieder schneien oberhalb von dreihundert metern meist so am nachmittag kräftig vom saarland bis nach berlin hoch,SONNTAG MEHR MILD VIEL WOLKE REGEN NORDWEST WIND,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,NORDOST HEUTE NACHT TROCKEN IN-KOMMEND REGEN NORDWEST REGEN,MORGEN GEWITTER TEIL HAGEL STURM NACHT KOMMEN NORD LANG REGEN,HEUTE NACHT MEHR LOCKER WOLKE ODER KLAR STERN SEHEN NORDWEST WOLKE,1,2,3,2,1
und nun die wettervorhersage für morgen mittwoch den neunzehnten januar,und nun die wettervorhersage für morgen mittwoch den zwölften januar,und nun die wettervorhersage für morgen mittwoch den siebenundzwanzigsten januar,und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar,und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar,und nun die wettervorhersage für morgen dienstag den fünften januar,0.98935455,0.98368734,0.97800434,0.97796136,0.97624743,18January_2011_Tuesday_tagesschau-6987,18January_2011_Tuesday_tagesschau-6987/1/*.png,-1.0,-1.0,Signer07,JETZT WETTER VORAUS INFORMIEREN MORGEN MITTWOCH NEUNZEHN JANUAR,und nun die wettervorhersage für morgen mittwoch den neunzehnten januar,JETZT WIE-AUSSEHEN IX WETTER MORGEN MITTWOCH ZWOELFTE JANUAR,HEUTE WETTER MORGEN MITTWOCH SIEBEN ZWANZIG JANUAR,JETZT WIE-AUSSEHEN WETTER MORGEN SAMSTAG SECHS ZWANZIG JANUAR,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENF ZWANZIG JANUAR,MORGEN WETTER WIE-AUSSEHEN DIENSTAG FUENFTE JANUAR,5,4,4,4,3
die sonne kann sich gegen die wolken nur selten durchsetzen,auch im westen gibt es später wolkenlücken,am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch,ganz im süden sind einzelne schauer möglich,in der mitte lockert es auch mal auf,ab und zu kann sich die sonne zeigen,0.8451733,0.8415799,0.8392618,0.8370613,0.83356625,18January_2011_Tuesday_tagesschau-6989,18January_2011_Tuesday_tagesschau-6989/1/*.png,-1.0,-1.0,Signer07,SONNE SELTEN NUR WOLKE HAUPTSAECHLICH,die sonne kann sich gegen die wolken nur selten durchsetzen,WEST KOMMEN LOCH SONNE DA,SONNTAG SPEZIELL REGION GEWITTER NORD MEHR SONNE,SUED BISSCHEN SCHAUER MOEGLICH,MITTE MAL KLAR HIMMEL,AUCH SONNE MOEGLICH,1,1,0,0,1
auch im süden gibt es eine menge wolken oder nebel aber regen fällt dort nur selten,mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt,das gilt auch für den abend aber im laufe der nacht werden schauer und gewitter in der südosthälfte immer seltener,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,am donnerstag regnet es vor allem im süden und osten mancherorts,der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken,0.88783854,0.87183845,0.8665345,0.8570515,0.8525374,17January_2011_Monday_tagesschau-7005,17January_2011_Monday_tagesschau-7005/1/*.png,-1.0,-1.0,Signer07,SUED AUCH VIEL WOLKE ODER NEBEL ABER REGEN SUED KAUM,auch im süden gibt es eine menge wolken oder nebel aber regen fällt dort nur selten,NORDOST WOLKE VIEL IX WENIG,AUCH ABEND ZWISCHEN NACHT IM-VERLAUF DANN REGEN REGION REGEN VERSCHWINDEN,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,DONNERSTAG BESONDERS SUED SUEDOST REGEN IX,MANCHMAL MORGEN LANG DAUER NEBEL WOLKE ABER TROCKEN,2,2,3,2,3
richtung bodensee kann es bis ins flachland schneien,besonders im osten deutschlands kann es ein wenig regnen oder schneien,am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien,im norden sowie ganz im westen schneit es auch mal stärker und es kann glatt werden,in den alpen wird es dann sogar schneien,am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee,0.9099248,0.8792427,0.872912,0.8652085,0.85254246,29November_2009_Sunday_tagesschau-7044,29November_2009_Sunday_tagesschau-7044/1/*.png,-1.0,-1.0,Signer03,BODEN SEE MOEGLICH FLACH AUCH SCHNEE,richtung bodensee kann es bis ins flachland schneien,BESONDERS OST DEUTSCH LAND MEHR REGEN ODER SCHNEE,TAG WOLKE DANN REGEN NORDWEST MEER IX AUCH MEISTENS IX REGEN SCHNEE SCHNEIEN,IX WEST IX SCHNEE SCHEINEN MOEGLICH GLATT,BERG SCHON SCHNEE,SONNTAG VIEL WOLKE IX REGEN IX UND SCHNEE BERG KOENNEN SCHNEE,1,2,2,1,1
im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken,westlich des rheins und im nordosten bleibt es meist trocken,vom südwesten bis in die mitte bleibt es meist trocken,in der nordwesthälfte teils freundlich teils wolkig und meist trocken,später ist es meist trocken,im nordosten bleibt es meist trocken,0.93674123,0.91518235,0.90693474,0.9026604,0.8976779,29November_2009_Sunday_tagesschau-7045,29November_2009_Sunday_tagesschau-7045/1/*.png,-1.0,-1.0,Signer03,SUEDOST REGION NORD SEE NOCH TROCKEN,im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken,FLUSS WEST UND NORD MEHR TROCKEN,SUEDWEST KOMMEN MEHR TROCKEN,NORD MEHR GUT MANCHMAL WOLKE TROCKEN,SPAETER BISSCHEN MEHR TROCKEN REGION,NORDOST BLEIBEN TROCKEN,2,1,2,2,1
aber erst muss noch mit regenfällen und gewittern gerechnet werden die besonders im süden und osten unwetterartig sein können,am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können,in der nacht muss vor allem in der nordwesthälfte mit schauern und gewittern gerechnet werden die heftig ausfallen können,dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können,vor allem im süden können die gewitter unwetterartig ausfallen,vielerorts gibt es schauer und gewitter die heftig ausfallen können,0.92863137,0.92449415,0.9041207,0.90188015,0.89407015,25August_2009_Tuesday_tagesschau-7085,25August_2009_Tuesday_tagesschau-7085/1/*.png,-1.0,-1.0,Signer01,MUESSEN AUSHALTEN REGEN GEWITTER BESONDERS SUEDOST STURM STARK KOENNEN,aber erst muss noch mit regenfällen und gewittern gerechnet werden die besonders im süden und osten unwetterartig sein können,SONNTAG WIEDER WECHSELHAFT SCHAUER GEWITTER ORT STARK,HIER NACHT HAUPTSAECHLICH NORDWEST SCHAUER GEWITTER HEFTIG REGEN MOEGLICH,MORGEN KOENNEN REGEN GEWITTER UNWETTER KOENNEN,PLOETZLICH IX GEWITTER KOENNEN WIE UNWETTER,SCHAUER GEWITTER STARK KUEHL,2,2,3,2,2
der deutsche wetterdienst hat entsprechende warnungen herausgegeben,der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben,der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben,es gelten entsprechende warnungen des deutschen wetterdienstes,für teile südbayerns gelten warnungen des deutschen wetterdienstes da in der nacht dort wie auch im süden sich hier und da gewitter entladen,es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes,0.8864278,0.8864278,0.8560228,0.8178417,0.8037403,25August_2009_Tuesday_tagesschau-7086,25August_2009_Tuesday_tagesschau-7086/1/*.png,-1.0,-1.0,Signer01,DEUTSCH WETTER DIENST SCHON WARNUNG EINIGE GEWESEN,der deutsche wetterdienst hat entsprechende warnungen herausgegeben,DEUTSCH WETTER DIENST BEKANNTGEBEN MOEGLICH GEWITTER KOMMEN,DEUTSCH WETTER DIENST BEKANNTGEBEN MOEGLICH GEWITTER KOMMEN,IX SCHON WARNUNG DEUTSCH WETTER DIENST STURM KOENNEN,BAYERN SUED WARNUNG DEUTSCH IX WETTER DIENST NACHT SUED ENORM GEWITTER,AUCH DEUTSCH WETTER DIENST SCHON WARNUNG UNWETTER KOENNEN,3,3,5,4,5
heute nacht temperaturen von zehn grad in der eifel bis achtzehn in der lausitz,morgen temperaturen von achtzehn grad an der küste bis sechsundzwanzig im breisgau,morgen temperaturen von fünfzehn grad an der nordsee bis vierundzwanzig am rhein,heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen,heute nacht liegen die werte zwischen vierzehn und sieben grad,dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad,0.94257873,0.93025917,0.91991615,0.9195156,0.91567004,25August_2009_Tuesday_tagesschau-7092,25August_2009_Tuesday_tagesschau-7092/1/*.png,-1.0,-1.0,Signer01,HEUTE ABEND TEMPERATUR ZEHN REGION BIS ACHTZEHN REGION,heute nacht temperaturen von zehn grad in der eifel bis achtzehn in der lausitz,MORGEN ACHTZEHN NORD DANN SECHS ZWANZIG REGION,MORGEN NORD FUENFZEHN GRAD REGION FLUSS VIER ZWANZIG GRAD MOEGLICH,HEUTE NACHT VIERZEHN IX UNTEN ALPEN VIER DANN,HEUTE NACHT VIERZEHN ZWISCHEN SIEBEN,REGION SECHS GRAD REGION MINUS EINS BIS FUENF GRAD,2,1,1,1,2
richtung südwesten und nordosten lässt sich die sonne auch mal blicken,montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne,ab und zu kann sich die sonne zeigen,morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf,richtung osten zeigt sich die sonne häufiger,dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte,0.89101017,0.8886782,0.88821286,0.88198626,0.8791257,07December_2009_Monday_tagesschau-7103,07December_2009_Monday_tagesschau-7103/1/*.png,-1.0,-1.0,Signer01,IX KOENNEN SONNE,richtung südwesten und nordosten lässt sich die sonne auch mal blicken,MONTAG DIENSTAG WECHSELHAFT MAL AUCH SONNE,AUCH SONNE MOEGLICH,MORGEN REGION SONNE IX WOLKE BEWOELKT,OST SONNE MEHR,NORD REGION IX KOMMEN MEISTENS NORD DEUTSCH LAND HEUTE ABEND MEHR KOMMEN,1,1,2,1,1
und nun die wettervorhersage für morgen donnerstag den einunddreißigsten märz,und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober,und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar,und nun die wettervorhersage für morgen mittwoch den dreißigsten märz,und nun die wettervorhersage für morgen donnerstag den siebenundzwanzigsten august,und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar,0.972064,0.97025514,0.9680286,0.96673644,0.96449697,30March_2011_Wednesday_tagesschau-7125,30March_2011_Wednesday_tagesschau-7125/1/*.png,-1.0,-1.0,Signer05,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG EINS DREISSIG MAERZ,und nun die wettervorhersage für morgen donnerstag den einunddreißigsten märz,HEUTE WETTER MORGEN SAMSTAG EINS ZWANZIG OKTOBER,JETZT WIE-AUSSEHEN WETTER MORGEN SAMSTAG SECHS ZWANZIG JANUAR,JETZT MORGEN WIE-AUSSEHEN WETTER MITTWOCH DREISSIG MAERZ,MORGEN WETTER WIE-AUSSEHEN DONNERSTAG SIEBEN ZWANZIG AUGUST,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENF ZWANZIG JANUAR,3,4,6,4,4
am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern,am tag zehn grad an der nordfriesischen küste zwanzig grad in niederbayern,am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein,am tag elf grad im vogtland und einundzwanzig grad am oberrhein,am tag sechs grad an den alpen und dreizehn grad am oberrhein,am tag vier grad im sauerland und zwölf grad im breisgau,0.963867,0.9495636,0.9463702,0.945269,0.9385056,01May_2010_Saturday_tagesschau-7194,01May_2010_Saturday_tagesschau-7194/1/*.png,-1.0,-1.0,Signer05,TAG NORDOST ZWOELF SUED BAYERN IX MAXIMAL ZWANZIG GRAD,am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern,MORGEN KUESTE REGION ZEHN GRAD BAYERN REGION ZWEI GRAD,TAG OST SECHSZEHN MAXIMAL SIEBEN ZWANZIG GRAD FLUSS,AM-TAG ELF VOGEL LAND,TAG BERG SECHS GRAD IX REGION DREIZEHN GRAD REGION,TAG SAUER LAND VIER REGION ZWOELF GRAD,2,4,0,3,3
auch am montag mehr wolken als sonne teilweise regnet es länger und kräftig auch gewitter sind dabei,am mittwoch breiten sich von nordwesten neue wolken mit regen oder schauern aus örtlich sind auch gewitter dabei,ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig,morgen vielerorts schauer vor allem im süden und osten noch einige gewitter mitunter regnet es kräftig auch unwetter sind weiter möglich,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,0.906217,0.90172076,0.8913275,0.8824172,0.87975997,01May_2010_Saturday_tagesschau-7195,01May_2010_Saturday_tagesschau-7195/1/*.png,-1.0,-1.0,Signer05,MONTAG AUCH MEHR WOLKE ALS SONNE UEBERWIEGEND REGEN UEBERWIEGEND GEWITTER,auch am montag mehr wolken als sonne teilweise regnet es länger und kräftig auch gewitter sind dabei,MITTWOCH NORDWEST KOMMEN REGEN SCHAUER TEIL GEWITTER,SONNTAG MEHR MILD VIEL WOLKE REGEN NORDWEST WIND,MORGEN ORT SCHAUER BESONDERS SUEDOST TATSAECHLICH GEWITTER HAUPTSAECHLICH REGEN UNWETTER MOEGLICH,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,NORD NORDWEST MEISTENS REGEN AUCH MOEGLICH BISSCHEN GEWITTER,2,3,2,5,3
dazwischen ist es freundlicher,am nachmittag wird es dann freundlicher,im westen ist es freundlich,sonst ist es recht freundlich,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,von süden wird es tag für tag freundlicher,0.90588677,0.90128654,0.88477546,0.8763101,0.87165403,04July_2010_Sunday_tagesschau-7205,04July_2010_Sunday_tagesschau-7205/1/*.png,-1.0,-1.0,Signer04,DAZWISCHEN FREUNDLICH,dazwischen ist es freundlicher,NACH MITTAG MEHR FREUNDLICH,WEST FREUNDLICH,SONST REGION FREUNDLICH,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,VON-UNTEN NACH-NORD MEHR FREUNDLICH,1,1,1,1,1
abseits der gewittern weht der wind schwach bis mäßig an der küste frisch,morgen vormittag an der ostsee noch starke böen sonst weht der wind schwach bis mäßig aus ost bis südost,der wind weht schwach bis mäßig am meer auch frisch,in der südhälfte weht der wind schwach sonst schwach bis mäßig richtung küsten frisch und stark böig,dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen,im norden mäßiger wind an den küsten weht er teilweise frisch,0.91130596,0.9041425,0.90371215,0.89226097,0.8917672,04July_2010_Sunday_tagesschau-7206,04July_2010_Sunday_tagesschau-7206/1/*.png,-1.0,-1.0,Signer04,WENN neg-HABEN GEWITTER SCHWACH WEHEN KUESTE WIND,abseits der gewittern weht der wind schwach bis mäßig an der küste frisch,MORGEN VOR MITTAG NORD STARK WIND WEHEN SCHWACH,WEHEN SCHWACH REGION FRISCH,SUED WIND SCHWACH MAESSIG WEHEN FRISCH STARK BOEE,SUED WIND NUR SCHWACH NORD WEHEN BISSCHEN WEHEN KUESTE STARK STURM WEHEN DAS-WAR-ES,NORD WIND MAESSIG KUESTE KOENNEN FRISCH WIND,3,2,3,4,2
samstag und sonntag ändert sich an diesem wetter noch wenig,sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig,donnerstag und freitag ändert sich wenig an diesem wetter,am freitag beruhigt sich das wetter wieder,an den temperaturen ändert sich wenig,und daran ändert sich auch am mittwoch nichts bei minus neun bis minus ein grad,0.9450218,0.9087724,0.87956923,0.8747037,0.8627324,29September_2011_Thursday_tagesschau-7236,29September_2011_Thursday_tagesschau-7236/1/*.png,-1.0,-1.0,Signer05,SAMSTAG SONNTAG GLEICH IX,samstag und sonntag ändert sich an diesem wetter noch wenig,SONNTAG MONTAG BLEIBEN SO MEHR KUEHL AUCH WECHSELHAFT,DONNERSTAG FREITAG WETTER BLEIBEN,FREITAG MEHR RUHIG,TEMPERATUR WIE-IMMER,MITTWOCH poss-SEIN GLEICH MINUS NEUN BIS MINUS EINS GRAD,1,0,0,0,1
es kann noch leicht schneien in den nächsten stunden in sachsen oder auch am alpenrand und in bayern,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee,örtlich ist gefrierender regen dabei richtung nordosten auch schnee,am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden,mit der leicht kühleren luft dann bis vierundzwanzig grad in der nordhälfte,0.8475497,0.84315723,0.83806574,0.8373282,0.83579814,24January_2013_Thursday_heute-7259,24January_2013_Thursday_heute-7259/1/*.png,-1.0,-1.0,Signer07,BISSCHEN SCHNEE IN-KOMMEND SACHSEN ODER BERG REGION BAYERN REGION MOEGLICH SCHNEE,es kann noch leicht schneien in den nächsten stunden in sachsen oder auch am alpenrand und in bayern,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,SONNTAG VIEL WOLKE IX REGEN IX UND SCHNEE BERG KOENNEN SCHNEE,NORDOST MIT SCHNEE SCHNEIEN,MONTAG HEFTIG REGEN NORDOST REGEN AUCH DAZU WIND REGION,DANN BIS VIER ZWANZIG GRAD REGION,2,2,1,1,1
es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad,der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad,wo es heute nacht aufklart ist leichter frost möglich sonst null bis vier grad,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,unter wolken heute nacht frostfreie zwei bis acht grad,dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad,0.92055863,0.9165998,0.9149654,0.91330796,0.903153,24January_2013_Thursday_heute-7266,24January_2013_Thursday_heute-7266/1/*.png,-1.0,-1.0,Signer07,SAMSTAG KALT MINUS ZEHN TEMPERATUR,es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad,DONNERSTAG EXTREM WETTER REGION TEMPERATUR UNTERSCHIED SECHS BIS ZWANZIG GRAD,HEUTE-NACHT STERN HABEN BISSCHEN FROST MOEGLICH SONST NULL BIS VIER GRAD,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,WOLKE DAS-IST-ES NACHT ZWEI BIS ACHT neg-HABEN FROST,WEST MEHR MILD MINUS VIER BIS MINUS SIEBEN,1,0,3,0,1
die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel,heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel,am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer,am tag scheint verbreitet die sonne im süden und westen bilden sich später gebietsweise quellwolken,der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken,regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar,0.9228884,0.891654,0.88788825,0.88539815,0.88315606,26April_2010_Monday_tagesschau-7272,26April_2010_Monday_tagesschau-7272/1/*.png,-1.0,-1.0,Signer01,NORD REGEN NACHT VERSCHWINDEN ALPEN REGEN KOENNEN IX NEBEL,die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel,HEUTE NACHT SUED ANFANG BISSCHEN GEWITTER IX SONST REGION REGEN IX KOENNEN AUCH NEBEL,TAG WEST FREUNDLICH SONST SONNE WOLKE WECHSELHAFT MAL SCHAUER,TAG REGION SONNE SUEDWEST BISSCHEN WOLKE,OST REGION ANFANG FREUNDLICH SPAETER NORDWEST AUCH SONNE SONST REGION WOLKE,REGEN SCHNEE REGION VERSCHWINDEN NORD REGEN KOENNEN REGION STERN KOENNEN SEHEN,5,0,0,0,4
und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten juni,und nun die wettervorhersage für morgen dienstag den einundzwanzigsten juni,und nun die wettervorhersage für morgen freitag den vierundzwanzigsten juli,und nun die wettervorhersage für morgen freitag den achtundzwanzigsten august,und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar,und nun die wettervorhersage für morgen samstag den sechsundzwanzigsten januar,0.99139345,0.9778765,0.9698197,0.96860105,0.96448934,24June_2010_Thursday_tagesschau-7300,24June_2010_Thursday_tagesschau-7300/1/*.png,-1.0,-1.0,Signer01,JETZT MORGEN WETTER WIE-AUSSEHEN FREITAG FUENF ZWANZIG JUNI,und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten juni,JETZT WETTER VORAUS INFORMIEREN MORGEN DIENSTAG EINS ZWANZIG JUNI,MORGEN WETTER WIE-AUSSEHEN FREITAG VIER ZWANZIG JULI,MORGEN WETTER WIE-AUSSEHEN FREITAG ACHT ZWANZIG AUGUST,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENF ZWANZIG JANUAR,JETZT WIE-AUSSEHEN WETTER MORGEN SAMSTAG SECHS ZWANZIG JANUAR,5,5,5,6,5
