Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
die neue woche startet dann durchwachsener	die neue woche beginnt wechselhaft und kühler	die neue woche beginnt noch wechselhaft und etwas kühler	auch die neue woche beginnt durchwachsen und recht kühl	am donnerstag noch unbeständig aber ab freitag wird es von westen langsam freundlicher	aber im laufe der nacht wird es zunehmend wolkiger	0.92064804	0.89883685	0.8935992	0.8625135	0.85933197
das war es für heute schönen abend noch	ihnen noch einen schönen abend	ich wünsche ihnen noch einen schönen abend	und das wetter bringt dort auch noch sonnenschein am vormittag zumindest	jetzt wünsche ich ihnen noch einen schönen abend	jetzt wünsche ich ihnen noch einen schönen abend	0.83343774	0.833381	0.82488596	0.82058895	0.82058895
und nun die wettervorhersage für morgen sonntag den neunzehnten dezember	und nun die wettervorhersage für morgen donnerstag den siebzehnten dezember	und nun die wettervorhersage für morgen sonntag den fünften dezember	und nun die wettervorhersage für morgen donnerstag den dritten dezember	und nun die wettervorhersage für morgen samstag den zwölften dezember	und nun die wettervorhersage für morgen mittwoch den achten september	0.9880792	0.98160934	0.97436595	0.9665739	0.966295
im süden fällt auch stellenweise regen der gefrieren kann	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	heute nacht breitet sich von westen regen aus der teilweise ergiebig sein kann	im norden schwacher wind aus unterschiedlichen richtungen sonst weht er mäßig	der wind weht schwach bis mäßig am meer auch frisch	auch im süden gibt es eine menge wolken oder nebel aber regen fällt dort nur selten	0.8684513	0.8480181	0.84530455	0.84453094	0.84129685
zunächst schwacher bis mäßiger wind der im norden aus östlicher sonst aus südlicher richtung kommt	im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	schwacher bis mäßiger auf den bergen in böen auch starker wind in der nordhälfte aus ost bis nordost sonst aus unterschiedlichen richtungen	schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	der wind weht schwach bis mäßig aus süd bis südwest	0.9014765	0.8859929	0.8785693	0.8778664	0.8727773
es gelten entsprechende warnungen des deutschen wetterdienstes	es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	die hochwassergefahr steigt wieder es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	der deutsche wetterdienst hat entsprechende warnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	0.92353696	0.86368245	0.8560228	0.80316	0.80316
an der küste morgen kühle neun grad im breisgau bis achtzehn grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	am hochrhein morgen schwül warme dreißig an der nordsee frische achtzehn grad	unter wolken heute nacht frostfreie zwei bis acht grad	in küstennähe morgen kühle fünfzehn bis sechzehn entlang des rheins dreiundzwanzig bis sechsundzwanzig grad	heute nacht schwül warme dreizehn bis achtzehn grad	0.9619086	0.9494864	0.93470347	0.9308472	0.9305668
am mittwoch breiten sich von nordwesten neue wolken mit regen oder schauern aus örtlich sind auch gewitter dabei	auch am montag mehr wolken als sonne teilweise regnet es länger und kräftig auch gewitter sind dabei	am sonntag ziehen von nordwesten wieder schauer und gewitter heran	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	0.906217	0.90310967	0.892531	0.8886812	0.88858336
auch in den folgenden tagen ändert sich an diesem wechselhaften wetter wenig	sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig	an den temperaturen ändert sich wenig	samstag und sonntag ändert sich an diesem wetter noch wenig	in der dahinter einfließenden kaltluft gestaltet sich das wetter morgen wechselhaft	am wochenende beruhigt sich dann das wetter langsam	0.86600876	0.8545522	0.8542776	0.84641516	0.83684826
sommerliche temperaturen sind dabei eher die ausnahme	in deutschland gibt es nur schwache luftdruckunterschiede	der wind weht meist schwach aus unterschiedlichen richtungen	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad	der wind weht meist schwach und kommt aus unterschiedlichen richtungen	0.859193	0.85374606	0.853249	0.8474455	0.843847
am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	am mittwoch eine mischung aus sonne wolken und nebelfeldern im nordwesten hier und da schauer sonst ist es trocken	am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	0.93081	0.925027	0.92007124	0.9117982	0.91112125
am tag ist es überwiegend stark bewölkt oder neblig trüb	am tag ist es meist stark bewölkt oder neblig trüb	am freitag ist es in der nähe der küsten und ganz im süden teilweise stark bewölkt	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	am tag ist es im südosten meist stark bewölkt vor allem an den alpen muss mit regen gerechnet werden	am samstag wird es deutlich kühler und im norden sehr windig	0.9895692	0.9366482	0.9109259	0.9065512	0.9044428
am sonntag überquert und dann ein atlantischer tiefausläufer dabei wird es milder	am samstag überquert uns ein regengebiet von west nach ost	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer	am freitag geht es aber langsam abwärts im osten gewitterschauer	am donnerstag noch unbeständig aber ab freitag wird es von westen langsam freundlicher	0.84894186	0.84119356	0.8389884	0.83783674	0.8365526
am dienstag in der südhälfte weitere schauer vereinzelt auch gewitter in der nordhälfte freundliche abschnitte	im süden und osten freundliche abschnitte	am dienstag vor allem richtung osten längere freundliche abschnitte daneben aber auch schauer und gewitter	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	im osten aber erst noch freundliche abschnitte	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	0.8855584	0.8606848	0.8553978	0.84799004	0.84731495
gewitterschauer örtlich mit hagel starkregen und sturmböen ziehen in der nacht ostwärts im norden regnet es länger	im südosten regnet es teilweise länger	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	0.9000541	0.88666403	0.8843802	0.87511086	0.87453777
es sorgt von westen für regen schnee und glätte	sie bringen kräftige schauer und gewitter	zusammen mit der schwül heißen luft sorgt es für zum teil heftige gewitter	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	es sorgt morgen dort für ruhiges freundliches wetter	in der nacht schneit es ab und zu leicht an den küsten sowie anfangs auch in tiefen lagen ist regen mit dabei	0.8295031	0.8283407	0.82443494	0.823839	0.82133466
im verlauf der woche geht es dann unbeständig und sehr mild weiter	in der neuen woche kühlt es dann bei wechselhaftem wetter deutlich ab	am wochenende beruhigt sich dann das wetter langsam	die neue woche beginnt noch wechselhaft und etwas kühler	am dienstag ziehen dann gegen abend von westen wieder zum teil kräftige schauer und gewitter heran	in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee	0.871276	0.8682289	0.86626625	0.8645226	0.864059
der wind weht schwach bis mäßig am meer auch frisch	der wind weht schwach bis mäßig an der nordsee und im bergland auch frischer wind	abseits der gewittern weht der wind schwach bis mäßig an der küste frisch	im norden schwacher wind aus unterschiedlichen richtungen sonst weht er mäßig	im norden mäßiger wind an den küsten weht er teilweise frisch	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	0.909058	0.9041425	0.89873517	0.8951063	0.8914183
heute nacht zwölf grad in der kölner bucht und ein grad im bayerischen wald	heute nacht zwölf grad in der kölner bucht ein grad in brandenburg	heute nacht elf grad im norden und ein grad an den alpen	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	heute nacht sieben bis vierzehn grad am tag zweiundzwanzig grad im süden und vierzehn grad in oberfranken	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	0.9381028	0.9166751	0.89814866	0.89673686	0.89589864
am tag werte zwischen zwanzig und achtundzwanzig grad an der ostsee werte darunter	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	am tag sieben grad an der ostsee und fünfzehn grad am rhein	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	am tag neunzehn grad an der nordsee und sechsundzwanzig grad in teilen thüringens und sachsens	0.9193887	0.9137485	0.9124573	0.908702	0.9050211
das kann ja manchmal ganz schön schnell gehen also ob es schön ist entscheiden natürlich sie meine damen und herren	und damit schönen guten abend meine damen und herren	da haben wir am morgen schnee und schneeregen	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	denn auch morgen gibt es also keine schauer mehr stattdessen viel sonnenschein da freuen sich die meisten natürlich drüber	guten abend liebe zuschauer	0.8786121	0.86462927	0.86304253	0.8627448	0.86268634
und damit schönen guten abend	liebe zuschauer guten abend	liebe zuschauer guten abend	liebe zuschauer guten abend	hallo und guten abend	ihnen noch einen schönen abend	0.89347804	0.89347804	0.89347804	0.88760436	0.8827015
mal ist es etwas wärmer mal etwas kälter und an dieser wetterverteilung wird sich auch in den nächsten tagen wenig ändern	sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig	samstag und sonntag ändert sich an diesem wetter noch wenig	und das wird auch am wochenende nicht passieren	und die kälteste ecke wird der gesamte südosten bleiben	das bleibt auch noch in dieser woche so so dass die brände weiter schwelen werden	0.8506143	0.84784037	0.8349051	0.83188945	0.8200715
und nun die wettervorhersage für morgen samstag den einundzwanzigsten november	und nun die wettervorhersage für morgen donnerstag den sechsundzwanzigsten november	und nun die wettervorhersage für morgen montag den achtundzwanzigsten november	und nun die wettervorhersage für morgen freitag den zwanzigsten november	und nun die wettervorhersage für morgen donnerstag den neunzehnten november	und nun die wettervorhersage für morgen samstag den einunddreißigsten oktober	0.9932206	0.98684424	0.9864167	0.98535305	0.977012
ein schwacher tiefausläufer bringt dem nordwesten deutschlands heute nacht hier und da etwas regen	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	im norden und nordosten deutschlands bleibt es morgen meist noch wolkenverhangen mit etwas regen	ein tief über der ostsee bringt dem norden deutschlands noch schnee	richtung nordosten gibt es mehr wolken hier und da etwas regen	vor allem im norden zeigen sich heute nacht noch dichte wolken vereinzelt fällt etwas regen	0.90733236	0.9000812	0.8924626	0.8853992	0.883434
ansonsten bleibt es unter hochdruckeinfluss meist trocken und tagsüber auch teilweise freundlich	vom südwesten bis in die mitte bleibt es meist trocken	später ist es meist trocken	am samstag meist freundlich und überwiegend trocken	westlich des rheins und im nordosten bleibt es meist trocken	am samstag überwiegend freundlich meist trocken und wärmer	0.910206	0.9028655	0.8909805	0.88811225	0.8752978
besonders in flusstälern bildet sich nebel	vor allem im nordwesten sowie in bayern bildet sich nebel	im westen und nordwesten weitgehend trocken hier und da wolkenlücken örtlich bildet sich nebel	ansonsten ist es meist nur locker bewölkt oder klar stellenweise bildet sich nebel	sonst aber funkeln oft die sterne oder es bildet sich nebel	heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel	0.9355571	0.89370805	0.855267	0.84902775	0.84741616
der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	aber es bleibt für die jahreszeit immer noch recht mild	die gibt es auch am montag bei insgesamt wieder mehr wolken aber es bleibt weiterhin warm und auch noch längere zeit freundlich	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	im laufe des wochenendes wird es dann immer trockener kalt bleibt es aber	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	0.908615	0.8864429	0.8837987	0.88323015	0.8814047
am nachmittag wird es dann freundlicher	am donnerstag noch unbeständig aber ab freitag wird es von westen langsam freundlicher	dazwischen ist es freundlicher	und zum wochenende wird es dann sogar wieder ein bisschen kälter	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	im westen ist es freundlich	0.9177668	0.90588677	0.8905697	0.88469356	0.883935
dabei wird es teilweise sehr windig und auch etwas kühler	am samstag wird es deutlich kühler und im norden sehr windig	danach wird es nur etwas kühler	später ist es meist trocken	vom südwesten bis in die mitte bleibt es meist trocken	am tag ist es meist stark bewölkt oder neblig trüb	0.92258763	0.8999281	0.89379156	0.88759804	0.87416875
aber es bleibt für die jahreszeit immer noch recht mild	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	es bleibt windig	und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam	am samstag ist es wieder unbeständig	die temperaturen sind außer jetzt im regen wo es ein bisschen kühler bleibt doch ganz erfreulich	0.908615	0.88188815	0.87058413	0.8672514	0.8647204
liebe zuschauer guten abend	liebe zuschauer guten abend	liebe zuschauer guten abend	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	1.0000001	1.0000001	0.9537549	0.9537549	0.9537549
richtung osten zeigt sich die sonne häufiger	montag und dienstag wechselhaft hier und da zeigt sich aber auch die sonne	richtung südwesten und nordosten lässt sich die sonne auch mal blicken	zunächst ist das gewitterrisiko nur im westen erhöht von tag zu tag steigt es aber auch richtung osten	am freitag mal sonne mal wolken und nur einzelne schauer stellenweise zeigt sich die sonne auch für längere zeit	mehr wolken als sonne gibt es im norden und osten tropfen fallen nur vereinzelt	0.88821983	0.88198626	0.8770685	0.8736684	0.8630312
am mittwoch vor allem ab dem nachmittag schauer und gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	auch am montag neben sonne zum teil schwere gewitter	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	0.90321815	0.89938104	0.895818	0.87569064	0.87538004
ähnliches wetter auch am donnerstag	ähnliches wetter auch am donnerstag	ähnliches wetter dann auch am donnerstag	am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag	am freitag beruhigt sich das wetter wieder	und das wetter bringt dort auch noch sonnenschein am vormittag zumindest	1.0	0.9739457	0.88332754	0.8639213	0.8271969
und morgen vormittag beziehungsweise bis zum nachmittag wahrscheinlich sogar noch scheint in der osthälfte noch die sonne	nach dessen auflösung scheint morgen verbreitet die sonne	am freitag scheint abseits der nebelgebiete häufig die sonne	es scheint häufig die sonne	in der osthälfte scheint abseits der nebelgebiete häufig die sonne	morgen scheint dann wieder überall die sonne	0.91673195	0.8945782	0.88682747	0.8852527	0.86710197
es kommen dann ein paar wolkenfelder	bei uns wird es richtig frisch heute nacht im südosten da sind es zehn elf grad etwa	dort wird es am dienstag windig dazu gibt es einzelne schauer	später ziehen dort auch wolken mit etwas regen auf	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	0.8621003	0.8575548	0.84734243	0.8422525	0.8401997
und am mittwoch dann noch reste dieser schauer und gewitter über dem osten und über dem süden	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	der regen zieht im laufe der nacht richtung main	und dann drängen die neuen wolken heran hier im nordwesten die können am nachmittag erste spritzer regen an der nordsee bringen und der wind frischt dazu auf aus süd südwest	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	0.89067036	0.8844123	0.8842701	0.88301235	0.8828087
am donnerstag ist es in der mitte am freundlichsten im norden regen oder graupelschauer im süden regnet es zeitweise	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	heute nacht gibt es im norden und nordosten viele wolken örtlich regnet oder nieselt es etwas	am sonntag im norden und in der mitte schauer dabei ist es im norden stürmisch	am sonntag im norden und an den alpen mal sonne mal wolken und ab und an schauer sonst ist es recht freundlich	am samstag viel sonnenschein vor allem an alpen und küsten ist es auch mal wolkig	0.89288163	0.88915724	0.88036424	0.8751172	0.8740494
dagegen gab es im westen fünf zentimeter neuschnee und schon stand der verkehr auf den autobahnen	da ist der boden noch gefroren am rhein wie gesagt da entspannt sich die lage bei plusgraden	heute nacht noch nicht so ganz da haben wir noch ein bisschen mit regen zu kämpfen an den küsten	heute nacht wird es aber nochmal ziemlich eisig vor allen dingen in den mittelgebirgen	sonst zieht das regengebiet nach osten	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	0.82424134	0.8192639	0.8152955	0.81226164	0.8109655
aber erfreuliche nachricht	sonst viel sonnenschein	sonst meist nur lockere wolken	liebe zuschauer guten abend	liebe zuschauer guten abend	liebe zuschauer guten abend	0.814688	0.8066263	0.79349244	0.79349244	0.79349244
es scheint häufig die sonne	am freitag scheint abseits der nebelgebiete häufig die sonne	und morgen vormittag beziehungsweise bis zum nachmittag wahrscheinlich sogar noch scheint in der osthälfte noch die sonne	nach dessen auflösung scheint morgen verbreitet die sonne	in der osthälfte scheint abseits der nebelgebiete häufig die sonne	morgen scheint dann wieder überall die sonne	0.8901563	0.88682747	0.886609	0.8771272	0.85413283
die wolken eines tiefs bei schottland erreichen uns morgen von westen her	morgen erwarten uns dann an der küste werte von siebzehn grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	der sternenklare himmel im westen der täuscht denn morgen wird es wieder regnen	sie ziehen in der nacht zum montag über uns hinweg	der regen zieht im laufe der nacht richtung main	0.8812378	0.8805982	0.8791198	0.8787511	0.8766071
für teile südbayerns gelten warnungen des deutschen wetterdienstes da in der nacht dort wie auch im süden sich hier und da gewitter entladen	im osten und südosten sind zu beginn der nacht einzelne gewittrige schauer möglich	am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	ja der regen im westen zieht weiter in dieser nacht er wird den osten erreichen wie gesagt anfangs mit schnee auch in den mittelgebirgen	der regen zieht im laufe der nacht richtung main	0.8711565	0.8596719	0.8560283	0.85428697	0.8540299
und nun die wettervorhersage für morgen freitag den vierundzwanzigsten juli	und nun die wettervorhersage für morgen sonntag den zwölften juli	und nun die wettervorhersage für morgen samstag den achtzehnten juli	und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten juni	und nun die wettervorhersage für morgen freitag den achtundzwanzigsten august	und nun die wettervorhersage für morgen dienstag den fünfundzwanzigsten mai	0.9832321	0.98062575	0.9778765	0.9764918	0.97599566
die schwül warme luft wird von kühlerer meeresluft verdrängt	und das mit tief ophelia das die kaltluft mit kräftigen schauern richtung mitteleuropa treibt	das hoch lenkt schwül heiße luft in den südosten das tief nur mäßig warme meeresluft in den nordwesten	quer über deutschland liegt eine luftmassengrenze die kühlere meeresluft von heißer luft aus dem südosten trennt	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	vom atlantik strömt etwas weniger milde luft zu uns	0.84851134	0.8482831	0.84714735	0.8383104	0.83676475
dies geht einher mit teilweise unwetterartigen gewittern	dabei kommt es zu heftigen schauern und gewittern die teilweise unwetterartig sein können	im süden entladen sich später hier und da heftige gewitter	besonders im südlichen bergland einzelne wärmegewitter	in den folgenden tagen sorgt tiefer luftdruck für wechselhaftes wetter und sinkende temperaturen	von westen erreicht uns ein neues atlantiktief mit zum teil kräftigen regenfällen und heftigen gewittern	0.8664348	0.86450255	0.8606223	0.855261	0.8548197
auch in sachsen wird es zum teil kräftig weiter regnen	in der südhälfte muss dazu mit nachtfrost gerechnet werden	im norden wird es dagegen noch trocken sein	in den alpen wird es dann sogar schneien	besonders im osten deutschlands kann es ein wenig regnen oder schneien	am sonntag wird es wieder unbeständiger mit einzelnen schauern und gewittern die örtlich heftig sein können	0.86193436	0.8552565	0.84775716	0.84409714	0.84352845
besonders im osten deutschlands kann es ein wenig regnen oder schneien	richtung bodensee kann es bis ins flachland schneien	vor allem in richtung küste sowie im südwesten kann es in der nacht etwas schneien	im norden sowie ganz im westen schneit es auch mal stärker und es kann glatt werden	am tag dichte wolken aber auch lücken dazu einige schauer an den nordwestseiten der gebirge kann es auch längere zeit regnen oder schneien	in den alpen wird es dann sogar schneien	0.9099248	0.9067252	0.9067231	0.9043527	0.88899654
heute nacht sind im süden anfangs noch einzelne gewitter möglich sonst fällt nur hier und da regen stellenweise bildet sich nebel	die schauer und gewitter im norden klingen in der nacht ab an den alpen fallen noch ein paar regentropfen stellenweise bildet sich nebel	im westen und nordwesten weitgehend trocken hier und da wolkenlücken örtlich bildet sich nebel	am tag scheint verbreitet die sonne im süden und westen bilden sich später gebietsweise quellwolken	sonst aber funkeln oft die sterne oder es bildet sich nebel	vor allem im norden zeigen sich heute nacht noch dichte wolken vereinzelt fällt etwas regen	0.9228884	0.91764146	0.88729054	0.8785774	0.8763141
später ist es meist trocken	vom südwesten bis in die mitte bleibt es meist trocken	westlich des rheins und im nordosten bleibt es meist trocken	richtung osten ist es meist sonnig	ansonsten bleibt es unter hochdruckeinfluss meist trocken und tagsüber auch teilweise freundlich	im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken	0.931192	0.9181268	0.90591055	0.9028655	0.9026604
guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	0.99999994	0.99999994	0.99999994	0.99999994	0.99999994
das wetter in europa hat viel zu bieten	die sonne kann sich gegen die wolken nur selten durchsetzen	deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt	in den bergen anfangs ist auch schnee dabei	in der mitte lockert es auch mal auf	dort kann es auch stürmische böen geben	0.82518345	0.8167495	0.81550294	0.8095093	0.8042535
die gewitterfront heute nacht noch über dem osten und dabei anfangs auch noch einzelne unwetterartige gewitter	im süden entladen sich später hier und da heftige gewitter	besonders im südlichen bergland einzelne wärmegewitter	in der osthälfte und im süden gibt es heute nacht kräftige regenfälle und zum teil heftige gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	dahinter lockert es im norden und der mitte teilweise auf an der nordsee vereinzelt kurze gewitter	0.8826969	0.8825239	0.86885095	0.86501193	0.8649098
entweder über den teletet oder auch über das internet	es gelten entsprechende warnungen des deutschen wetterdienstes	am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein	der wind weht meist schwach aus unterschiedlichen richtungen	morgen reichen die temperaturen von einem grad im vogtland bis neun grad am oberrhein	das hoch über den azoren weitet sich bis nach süddeutschland aus	0.7013245	0.67618614	0.67563117	0.6744787	0.6737768
mit der leicht kühleren luft dann bis vierundzwanzig grad in der nordhälfte	dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad	heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	0.88584024	0.88003117	0.878494	0.87527555	0.87468797
im süden oder in der mitte auch bis siebenundzwanzig grad	dort morgen bis zweiundzwanzig grad	im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	0.92361355	0.9184577	0.9140246	0.9128797	0.90925455
das wetter in teilen europas wird in den kommenden beiden tagen bestimmt von einem umfangreichen tiefdruckgebiet	das hoch das sich richtung osteuropa verlagert bestimmt auch in den kommenden tagen unser wetter	deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	nach einer kurzen wetterberuhigung erreicht uns morgen von westen ein neuer tiefausläufer	und morgen wird es dann in der südosthälfte nochmal ähnlich werden wie heute allerdings im nordwesten bereits dichtere wolken	0.82974994	0.80688465	0.80589515	0.799067	0.7969936
an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad	heute nacht plus vier grad an der ostsee bis minus vier grad in den mittelgebirgen	heute nacht minus zwei grad an der nordsee und bis minus zwanzig grad in einzelnen alpentälern	in den mittelgebirgen heute nacht örtlich vier im nordwesten unter wolken bis zwölf grad	dort morgen sieben grad nordöstlich der elbe teilweise nur minus ein grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	0.9423009	0.9310834	0.92627156	0.92420435	0.9237373
am freitag beruhigt sich das wetter wieder	im westen und nordwesten beruhigt sich das wetter später wieder	am wochenende beruhigt sich dann das wetter langsam	samstag beruhigt es sich etwas	samstag und sonntag ändert sich an diesem wetter noch wenig	am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag	0.9035348	0.90325856	0.89498925	0.87956923	0.87488043
in den übrigen gebieten viel sonne und nur ein paar lockere wolken	sonst meist nur lockere wolken	sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	sonst ein wechsel aus sonne und wolken	dort wird es am dienstag windig dazu gibt es einzelne schauer	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	0.87517655	0.87163544	0.8703564	0.8634109	0.8610763
am tag halten sich über dem südosten dichte wolken aus denen ein paar schneeflocken fallen	auch am tag wieder viel sonnenschein später bilden sich hier und da ein paar quellwolken	in der nacht werden die wolken im norden und nordosten dichter erste tropfen können an der ostsee fallen	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	nordöstlich der elbe halten sich heute nacht noch viele wolken die anfangs auch noch ein paar tropfen bringen	0.88808215	0.8876797	0.8871364	0.8838142	0.8818137
